Student_ID,CGPA,Aptitude_Score,Coding_Score,Communication_Score,Internship_Experience,Cluster_Label
1,7.97,85,84,62,0,Needs Communication Improvement
2,8.26,80,80,77,1,Placement Ready
3,8.04,81,81,92,1,Placement Ready
4,8.02,83,81,86,1,Placement Ready
5,6.19,70,53,58,0,Needs Additional Training
6,6.31,59,54,62,0,Needs Additional Training
7,7.87,88,80,80,1,Placement Ready
8,6.95,54,52,54,0,Needs Additional Training
9,7.89,92,71,93,1,Placement Ready
10,8.41,82,87,52,0,Needs Communication Improvement
11,6.59,59,66,52,0,Needs Additional Training
12,7.26,43,61,60,1,Needs Additional Training
13,8.49,82,82,78,1,Placement Ready
14,8.24,84,90,80,1,Placement Ready
15,8.04,67,57,62,1,Needs Coding Improvement
16,6.99,79,78,52,0,Needs Communication Improvement
17,7.1,74,59,81,1,Needs Coding Improvement
18,6.66,79,84,56,0,Needs Communication Improvement
19,7.64,79,59,90,0,Needs Coding Improvement
20,8.36,75,79,84,1,Placement Ready
21,8.15,91,82,79,0,Placement Ready
22,7.65,83,49,76,0,Needs Coding Improvement
23,9.06,80,94,80,0,Placement Ready
24,7.9,69,47,74,0,Needs Coding Improvement
25,7.93,69,50,63,1,Needs Coding Improvement
26,7.73,76,74,53,1,Needs Communication Improvement
27,6.34,62,52,61,0,Needs Additional Training
28,6.84,73,80,62,0,Needs Communication Improvement
29,7.55,80,81,48,1,Needs Communication Improvement
30,7.68,82,85,64,0,Needs Communication Improvement
31,7.56,82,74,54,0,Needs Communication Improvement
32,7.39,65,53,74,0,Needs Coding Improvement
33,7.95,81,79,86,1,Placement Ready
34,8.88,77,90,82,1,Placement Ready
35,6.74,63,64,55,0,Needs Additional Training
36,7.46,70,39,79,0,Needs Coding Improvement
37,7.06,60,48,61,0,Needs Additional Training
38,5.99,65,61,67,0,Needs Additional Training
39,6.21,61,57,62,0,Needs Additional Training
40,8.28,82,76,87,1,Placement Ready
41,7.44,75,49,62,1,Needs Additional Training
42,7.31,69,58,74,1,Needs Coding Improvement
43,8.34,86,76,82,1,Placement Ready
44,7.13,55,65,58,0,Needs Additional Training
45,7.81,77,86,56,0,Needs Communication Improvement
46,6.34,61,52,62,0,Needs Additional Training
47,7.48,57,50,63,0,Needs Coding Improvement
48,7.49,76,73,43,1,Needs Communication Improvement
49,7.57,70,71,51,1,Needs Communication Improvement
50,6.69,69,53,71,1,Needs Coding Improvement
51,7.39,77,49,69,1,Needs Coding Improvement
52,6.35,55,53,62,1,Needs Additional Training
53,8.29,71,81,78,1,Placement Ready
54,6.85,66,63,48,0,Needs Additional Training
55,8.56,68,57,80,0,Needs Coding Improvement
56,6.57,65,66,55,0,Needs Additional Training
57,8.44,83,72,58,0,Needs Communication Improvement
58,5.81,55,41,52,1,Needs Additional Training
59,6.34,46,59,46,0,Needs Additional Training
60,7.89,71,39,74,1,Needs Coding Improvement
61,8.27,86,70,83,0,Placement Ready
62,8.43,100,82,79,0,Placement Ready
63,8.31,70,42,79,1,Needs Coding Improvement
64,8.2,68,74,52,1,Needs Communication Improvement
65,7.52,70,74,54,0,Needs Communication Improvement
66,8.06,72,59,79,1,Needs Coding Improvement
67,7.6,67,37,72,1,Needs Coding Improvement
68,7.2,76,49,77,1,Needs Coding Improvement
69,7.19,61,51,49,0,Needs Additional Training
70,6.69,63,51,56,0,Needs Additional Training
71,8.87,85,73,88,1,Placement Ready
72,7.81,63,60,77,0,Needs Coding Improvement
73,6.17,52,60,56,1,Needs Additional Training
74,7.37,77,81,56,0,Needs Communication Improvement
75,7.03,57,48,67,0,Needs Additional Training
76,6.61,71,47,55,1,Needs Additional Training
77,7.43,76,84,33,0,Needs Communication Improvement
78,8.69,79,87,92,1,Placement Ready
79,8.1,68,56,67,0,Needs Coding Improvement
80,7.91,91,86,78,1,Placement Ready
81,7.19,71,56,75,0,Needs Coding Improvement
82,7.31,72,40,73,1,Needs Coding Improvement
83,8.03,76,77,60,1,Needs Communication Improvement
84,7.35,70,78,41,1,Needs Communication Improvement
85,8.8,75,84,48,1,Needs Communication Improvement
86,6.89,54,54,47,0,Needs Additional Training
87,7.66,85,73,40,1,Needs Communication Improvement
88,6.44,73,57,48,0,Needs Additional Training
89,7.3,73,82,62,1,Needs Communication Improvement
90,8.62,89,92,70,1,Placement Ready
91,8.52,89,89,76,1,Placement Ready
92,5.71,68,43,58,0,Needs Additional Training
93,9.14,82,77,84,1,Placement Ready
94,8.35,80,75,64,1,Needs Communication Improvement
95,7.45,78,54,69,0,Needs Coding Improvement
96,8.03,78,84,78,0,Placement Ready
97,7.44,83,74,50,1,Needs Communication Improvement
98,7.91,64,84,59,1,Needs Communication Improvement
99,8.02,67,43,71,1,Needs Coding Improvement
100,7.73,76,72,45,0,Needs Communication Improvement
101,8.33,82,92,79,1,Placement Ready
102,7.12,77,85,51,0,Needs Communication Improvement
103,7.77,64,79,58,0,Needs Communication Improvement
104,8.48,66,83,45,1,Needs Communication Improvement
105,6.81,43,45,48,0,Needs Additional Training
106,7.75,73,81,50,0,Needs Communication Improvement
107,7.82,78,84,43,1,Needs Communication Improvement
108,7.61,76,50,67,1,Needs Coding Improvement
109,7.73,79,69,51,0,Needs Communication Improvement
110,8.41,88,88,82,1,Placement Ready
111,7.05,70,34,73,1,Needs Coding Improvement
112,8.22,80,77,47,0,Needs Communication Improvement
113,7.46,84,85,59,1,Needs Communication Improvement
114,6.99,73,72,43,0,Needs Communication Improvement
115,6.85,56,52,56,0,Needs Additional Training
116,6.98,59,45,61,0,Needs Additional Training
117,8.7,87,91,84,1,Placement Ready
118,5.17,53,61,45,0,Needs Additional Training
119,7.66,70,39,68,0,Needs Coding Improvement
120,6.52,51,50,40,0,Needs Additional Training
121,7.78,91,81,33,0,Needs Communication Improvement
122,8.34,83,90,83,1,Placement Ready
123,7.63,67,75,55,0,Needs Communication Improvement
124,7.87,79,90,43,1,Needs Communication Improvement
125,7.95,59,45,68,1,Needs Coding Improvement
126,7.75,69,48,66,0,Needs Coding Improvement
127,8.03,64,44,81,0,Needs Coding Improvement
128,6.55,60,47,69,0,Needs Additional Training
129,6.75,69,86,50,0,Needs Communication Improvement
130,9.22,83,76,75,1,Placement Ready
131,7.49,74,62,67,0,Needs Coding Improvement
132,8.73,87,75,83,0,Placement Ready
133,7.9,75,37,76,0,Needs Coding Improvement
134,6.88,56,53,67,0,Needs Additional Training
135,8.34,71,77,58,1,Needs Communication Improvement
136,8.31,84,86,87,1,Placement Ready
137,7.25,61,57,53,1,Needs Additional Training
138,7.66,79,80,33,0,Needs Communication Improvement
139,6.47,56,61,64,0,Needs Additional Training
140,6.36,64,64,49,0,Needs Additional Training
141,7.95,74,84,42,1,Needs Communication Improvement
142,8.26,91,92,81,1,Placement Ready
143,7.83,75,86,83,1,Placement Ready
144,8.1,77,73,81,1,Placement Ready
145,7.6,67,52,72,0,Needs Coding Improvement
146,6.98,71,55,85,0,Needs Coding Improvement
147,5.72,63,46,53,1,Needs Additional Training
148,8.43,78,87,72,1,Placement Ready
149,8.5,80,84,80,1,Placement Ready
150,8.3,71,72,51,1,Needs Communication Improvement
151,6.25,50,61,56,0,Needs Additional Training
152,6.98,75,53,60,0,Needs Additional Training
153,8.02,78,90,90,0,Placement Ready
154,8.28,77,75,49,1,Needs Communication Improvement
155,6.99,61,60,50,0,Needs Additional Training
156,7.67,64,45,58,0,Needs Additional Training
157,6.56,66,45,63,0,Needs Coding Improvement
158,7.57,70,74,47,0,Needs Communication Improvement
159,8.07,81,76,81,1,Placement Ready
160,8.6,82,76,84,1,Placement Ready
161,6.46,52,59,56,0,Needs Additional Training
162,7.54,73,45,69,0,Needs Coding Improvement
163,6.82,55,58,64,0,Needs Additional Training
164,7.33,79,79,66,1,Needs Communication Improvement
165,7.93,84,83,88,1,Placement Ready
166,8.47,78,78,81,1,Placement Ready
167,8.77,75,79,50,1,Needs Communication Improvement
168,8.58,84,86,83,1,Placement Ready
169,7.64,81,40,75,0,Needs Coding Improvement
170,8.28,88,85,93,1,Placement Ready
171,6.25,42,56,58,1,Needs Additional Training
172,8.98,79,79,70,1,Placement Ready
173,7.38,69,49,69,0,Needs Coding Improvement
174,6.85,65,82,51,1,Needs Communication Improvement
175,6.51,57,55,62,0,Needs Additional Training
176,8.26,92,77,84,1,Placement Ready
177,6.92,66,48,66,1,Needs Coding Improvement
178,7.47,72,74,57,1,Needs Communication Improvement
179,7.92,60,43,68,0,Needs Coding Improvement
180,7.85,68,38,80,0,Needs Coding Improvement
181,7.48,83,44,76,0,Needs Coding Improvement
182,7.51,74,54,71,1,Needs Coding Improvement
183,7.91,84,81,77,1,Placement Ready
184,7.32,70,52,71,0,Needs Coding Improvement
185,8.69,89,83,84,1,Placement Ready
186,7.32,62,56,80,0,Needs Coding Improvement
187,6.48,68,54,63,0,Needs Additional Training
188,7.01,71,68,82,1,Needs Coding Improvement
189,7.66,77,39,70,0,Needs Coding Improvement
190,6.59,62,65,52,0,Needs Additional Training
191,8.23,73,38,69,0,Needs Coding Improvement
192,5.65,59,62,52,0,Needs Additional Training
193,7.18,61,49,64,0,Needs Additional Training
194,7.75,81,81,83,1,Placement Ready
195,5.68,64,70,56,0,Needs Additional Training
196,7.17,55,55,63,0,Needs Additional Training
197,8.05,73,77,57,1,Needs Communication Improvement
198,5.94,58,43,62,1,Needs Additional Training
199,7.01,86,51,69,1,Needs Coding Improvement
200,6.62,75,38,63,0,Needs Additional Training
201,7.28,71,57,72,1,Needs Coding Improvement
202,7.5,60,54,68,0,Needs Coding Improvement
203,7.43,79,83,53,0,Needs Communication Improvement
204,5.93,63,49,54,0,Needs Additional Training
205,7.22,55,40,47,0,Needs Additional Training
206,7.52,63,78,68,0,Needs Communication Improvement
207,8.21,87,89,78,0,Placement Ready
208,5.57,42,41,72,0,Needs Additional Training
209,5.9,55,56,59,0,Needs Additional Training
210,7.74,79,79,53,0,Needs Communication Improvement
211,7.1,49,56,55,1,Needs Additional Training
212,5.75,64,56,63,0,Needs Additional Training
213,6.96,76,55,77,1,Needs Coding Improvement
214,6.01,58,54,66,1,Needs Additional Training
215,8.15,71,76,50,0,Needs Communication Improvement
216,6.63,49,34,52,0,Needs Additional Training
217,8.65,70,83,88,1,Placement Ready
